Advertiser,Upload Date,Before,After
amazon,31-01-19,69,71
Vevo,16-04-19,27,16
royalcaribbean,10-04-19,68,63
sunbasket,11-04-19,0,0
groupon,25-06-18,90,95
k9 sport sack,04-04-19,92,98
target,30-03-19,34,34
luvs,31-03-19,32,32
trutv,18-03-19,6,100
xfinity,08-04-19,78,82
redfin,19-03-19,85,91
genesis car,17-03-19,38,53
Federation for American Immigration Reform,29-03-19,44,15
Jeff Bishop,24-10-18,63,50
leagueoflegends,05-10-18,73,83
constantcontact,16-01-19,86,86
topcoat,26-03-19,36,100
Num Noms,12-04-19,20,28
redfin,19-03-19,85,91
appacademy,04-05-17,36,37
FitLifeTv,14-09-18,0,0
wework,26-03-19,67,77
inspireyourpeople,11-04-19,38,0
ortho groundclear,21-03-19,20,73
mcdonalds,01-04-19,66,64
petsmart,14-04-19,67,100
X1 Boston,24-08-18,15,30
Lowe's,10-12-18,55,51
adidas,08-04-19,68,65
yesterdaymovie,12-02-19,0,100
apple,15-04-19,47,46
Teen Hip-Hop and R&amp;B,16-04-19,0,0
bilh,25-03-19,51,67
carfax,03-04-19,91,84
fandango,16-04-19,34,38
oscarmayer,21-02-19,48,50
Kohler co.,08-04-19,92,94
expedia,26-03-19,89,87
Hatchiman,23-01-19,9,12
mcdonalds,04-04-19,64,60
SK-II,06-03-19,74,75
dove,23-01-19,46,43
xyzal,11-02-19,32,39
enroll americanidentitygroup,05-04-19,49,0
freshstep,14-01-19,85,94
Digestive Advantage,15-02-19,55,47
beefitswhatsfordinner,27-02-19,70,49
apple,15-04-19,47,46
rakuten,04-04-19,85,65
carfax,27-11-18,70,65
J. C. Penney,08-04-19,31,32
dell,03-04-19,95,77
J. C. Penney,16-04-19,32,35
juice wrld,08-04-19,53,58
kettle brand,29-03-19,86,81
chrome tip,10-12-18,85,84
aimovig,02-04-19,14,55
mike johnston,26-03-19,0,33
google products,19-03-19,66,78
avengers: endgame,15-04-19,5,6
SK-II,25-03-19,43,75
sonypictures,15-04-19,0,35
YoutubeTv,04-04-19,53,85
honda passport,20-03-19,39,50
biktarvy,07-11-18,54,52
National Pork board,15-04-17,34,50
turo,17-04-19,81,83
oldnavy,16-04-19,40,44
lucemyra,08-03-19,26,20
French Montana,18-04-19,46,66
Jeff Bishop,24-10-18,63,50
maybelline,14-03-19,79,81
zantacotc,07-04-19,0,0
southwest,07-04-19,68,64
monday,21-01-19,0,0
breakthroughtickets,15-04-19,26,100
adidas,31-03-19,75,68
stand trump,08-10-18,26,26
miraclegro,10-03-19,48,66
Ford,17-09-18,56,78
mcdonalds,04-04-19,64,60
Royal Dutch Shell,19-03-19,73,76
nav,01-04-19,100,58
apple,15-04-19,47,46
wsj,05-04-19,70,74
Wells Fargo,21-02-19,68,72
clorox,03-03-19,71,75
yslbeautyus,27-08-18,0,0
cumberland farms,05-04-19,39,38
Ford,19-03-19,62,63
ecosia,15-01-18,20,13
dupixent,11-03-19,72,83
honey coupons,04-04-19,15,19
zantacotc,11-04-19,0,0
samsung galaxy 10,07-03-19,89,74
converse,08-04-19,81,77
ancestry,15-04-19,47,45
apple,28-03-19,59,49
oscarmayer,11-02-19,46,48
bhphotovideo,16-01-19,41,41
mazda,11-04-19,92,91
tiktok,15-04-19,92,98
grammarly,19-11-18,86,53
apple,21-03-19,50,59
honey coupons,21-03-19,10,15
hulu,04-04-19,73,75
nrcc,23-03-18,0,91
Game of thrones games,11-03-19,13,16
monday,14-05-18,4,5
cadillac,21-02-19,88,96
2019 Nissan Rogue,11-04-19,82,90
wsj,20-03-19,72,83
thelastcoat,09-04-19,45,83
samsung galaxy 10,07-03-19,89,74
Becca Cosmetics,01-03-19,0,0
geico,05-04-19,89,84
icelandic provisions,03-06-18,64,79
impeach trump,02-10-18,11,16
